U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,Pb204Pb206,errPb204Pb206,rhoXY,rhoXZ,rhoYZ
787.39,3.94,0.04400,0.00031,0.001016,0.0000051,0,0,0
785.27,3.93,0.04161,0.00029,0.000867,0.0000043,0,0,0
743.99,3.72,0.07764,0.00055,0.003221,0.0000161,0,0,0
759.57,3.80,0.05678,0.00040,0.001849,0.0000092,0,0,0
744.73,3.72,0.08367,0.00059,0.003549,0.0000177,0,0,0
759.60,3.80,0.06489,0.00046,0.002366,0.0000118,0,0,0
744.12,3.72,0.08003,0.00057,0.003341,0.0000167,0,0,0
729.03,3.65,0.09913,0.00070,0.004511,0.0000226,0,0,0
771.53,3.86,0.05692,0.00040,0.001841,0.0000092,0,0,0
742.24,3.71,0.08404,0.00059,0.003621,0.0000181,0,0,0
