t,Ar36,Ar39,Ar40
30,1,2,307
31,0,0,276
32,2,2,323
33,0,3,325
34,3,2,321
35,0,1,298
36,0,1,289
37,1,0,293
38,2,0,300
39,1,1,310
40,1,0,290
41,0,0,319
42,0,1,295
43,4,1,316
44,1,1,313
45,2,1,341
46,2,1,313
47,1,1,331
48,1,0,311
49,3,1,335
50,1,1,275
51,3,0,279
52,1,1,318
53,3,0,319
54,1,1,341
55,1,1,275
56,2,1,307
57,0,1,315
58,0,1,334
59,0,0,330
60,1,1,288
61,0,0,355
62,0,3,333
63,0,2,323
64,0,2,331
65,0,1,307
66,1,1,325
67,2,2,300
68,0,2,311
69,3,3,352
70,0,0,317
71,2,0,329
72,0,2,330
73,1,0,328
74,0,0,313
75,1,3,305
76,2,2,325
77,0,0,284
78,2,0,331
79,1,1,327
80,1,0,309
81,2,0,305
82,1,0,319
83,4,1,341
84,1,1,328
85,2,0,333
86,1,0,323
87,2,0,270
88,1,0,317
89,2,1,354
90,0,1,360
91,1,0,316
92,1,0,333
93,0,0,352
94,0,0,323
95,1,3,337
96,0,2,332
97,2,0,337
98,0,0,296
99,0,1,316
100,0,1,333
101,3,0,286
102,0,0,317
103,0,0,318
104,4,0,309
105,0,2,332
106,0,0,337
107,0,2,350
108,0,2,315
109,3,0,324
110,0,1,323
111,1,0,313
112,2,1,318
113,1,0,343
114,3,1,304
115,3,0,338
116,1,1,336
117,0,0,310
118,3,0,338
119,2,1,326
120,1,1,341
121,1,2,331
122,3,0,314
123,2,0,315
124,0,4,372
125,1,1,326
126,0,5,354
127,1,1,353
128,0,2,337
129,0,0,331
130,1,0,349
131,0,3,341
132,2,0,334
133,1,0,310
134,0,2,327
135,1,0,353
136,0,0,317
137,2,5,335
138,1,0,328
139,0,2,303
140,2,2,350
141,0,3,339
142,1,1,372
143,1,1,349
144,1,0,335
145,0,1,333
146,0,0,325
147,2,2,346
148,2,0,329
149,0,1,332
150,1,3,368
151,1,1,340
152,0,0,299
153,1,1,356
154,0,1,321
155,2,0,342
156,1,2,286
157,5,1,361
158,0,1,356
159,1,2,360
160,2,0,344
161,0,1,394
162,0,2,350
163,2,0,341
164,0,2,320
165,3,1,331
166,1,1,329
167,0,1,365
168,1,1,324
169,3,0,382
170,1,1,346
171,3,1,338
172,0,0,336
173,1,1,378
174,2,1,380
175,2,2,326
176,2,1,349
177,1,0,355
178,1,0,352
179,3,2,371
180,3,3,337
