t,Ar36,Ar39,Ar40
30,11,35555,681162
31,18,35556,680113
32,10,35816,679174
33,8,35517,681239
34,11,35094,677843
35,9,35581,678716
36,12,35764,679104
37,8,35406,676285
38,8,35542,676030
39,9,35445,675430
40,9,35363,674546
41,6,35119,672211
42,12,35306,673462
43,14,35667,672338
44,4,35553,672081
45,7,35091,670907
46,13,35242,671515
47,6,34996,669428
48,9,35277,668186
49,9,35065,668253
50,11,35006,668040
51,17,34523,666592
52,11,34868,667188
53,9,35149,664646
54,11,34797,664414
55,8,34968,664322
56,6,34793,664379
57,13,34693,662256
58,9,34949,662785
59,9,34770,660935
60,6,34736,660894
61,8,34217,659483
62,7,34856,659317
63,8,34508,657476
64,12,34394,657687
65,8,34040,656223
66,6,34282,656289
67,10,34162,654930
68,12,34149,653936
69,10,34050,654510
70,12,34369,654423
71,4,34302,651914
72,16,34389,651556
73,14,34281,651499
74,10,34130,651030
75,14,34036,650861
76,7,33823,648265
77,8,33847,648716
78,10,33876,648893
79,10,33870,648040
80,8,33599,647401
81,12,33965,644662
82,13,33798,644741
83,10,33866,645760
84,10,33961,643805
85,9,33643,642944
86,13,33408,641077
87,9,33720,641955
88,12,33541,641076
89,9,33492,639997
90,9,33739,638997
91,4,33348,639773
92,6,33465,637335
93,8,33616,637515
94,11,33182,637020
95,8,33364,635826
96,10,33252,634750
97,13,33366,635505
98,11,32997,633917
99,8,33048,634174
100,6,33248,632194
101,13,33056,632659
102,9,32925,631022
103,13,33117,630367
104,10,32820,630242
105,7,32947,628899
106,9,33046,626843
107,9,32904,628210
108,7,32715,628403
109,9,33171,626235
110,11,32758,625683
111,9,32856,623858
112,9,32496,624775
113,12,32741,624142
114,13,32664,622694
115,8,32587,622182
116,10,32420,622379
117,9,32296,619360
118,9,32175,620281
119,8,32238,618825
120,5,32193,618098
121,9,32519,618009
122,11,32127,616450
123,8,32033,617415
124,14,32314,616539
125,9,32094,616005
126,7,32155,614978
127,7,31873,613661
128,9,32022,613200
129,9,32251,613014
130,6,32096,611859
131,7,32079,610229
132,8,31996,610835
133,8,31974,609097
134,5,32228,609163
135,10,31837,607794
136,15,31650,606871
137,9,31904,606314
138,4,32034,606181
139,5,31438,604442
140,10,31596,604896
141,10,31796,603864
142,5,31945,602651
143,11,31453,603616
144,14,31730,601682
145,11,31227,600541
146,9,31327,599896
147,10,31463,600431
148,12,31343,597251
149,8,31391,599430
150,13,31450,595987
151,6,31372,597211
152,5,31177,596505
153,10,31266,595940
154,7,31169,594060
155,7,31092,594052
156,7,31054,594060
157,4,31138,592510
158,7,30879,591738
159,11,30968,592683
160,10,30913,591624
161,8,31011,589104
162,8,30861,588916
163,9,30900,588360
164,9,30694,587365
165,8,31121,586432
166,8,30625,586019
167,9,30506,585277
168,10,30335,586541
169,10,30272,584078
170,7,30460,584359
171,10,30943,583196
172,8,30519,582291
173,6,30325,581520
174,5,30634,580302
175,6,30035,578966
176,12,30439,579279
177,10,29971,578634
178,9,30213,578730
179,5,29803,576491
180,8,29864,575421
