t,Ar36,Ar39,Ar40
30,7,75059,388007
31,7,75198,389138
32,2,74234,389121
33,10,74770,387672
34,5,74760,388304
35,5,74803,386837
36,3,74711,387614
37,2,74260,385797
38,6,73695,386120
39,4,74383,385714
40,8,74088,384521
41,2,74484,385201
42,7,73955,383977
43,5,74001,383704
44,5,73891,382823
45,2,73835,383120
46,4,73419,382485
47,6,73656,383670
48,4,73672,381743
49,6,73403,381009
50,7,73339,381421
51,3,73291,380665
52,6,73592,381014
53,1,73301,380296
54,3,72808,379454
55,3,73241,379994
56,3,73135,380363
57,5,72528,377904
58,8,73087,378030
59,4,72420,377433
60,9,72005,377861
61,4,72458,377718
62,3,72510,376530
63,7,72303,376312
64,5,72303,376144
65,5,72175,375700
66,6,71897,374229
67,10,72297,375134
68,2,71787,374196
69,5,71668,373664
70,4,72203,372381
71,2,71660,372324
72,3,72021,371959
73,3,71552,372515
74,10,71816,372444
75,5,71327,370360
76,6,70872,371094
77,6,71530,370048
78,6,71477,370308
79,7,70995,369890
80,4,70581,369890
81,6,71360,368911
82,3,70898,369243
83,3,70935,367829
84,5,70674,368435
85,8,70717,367340
86,4,70978,366175
87,8,70408,366945
88,5,70983,365894
89,5,71097,366625
90,4,70418,365671
91,7,70162,364797
92,4,70075,365240
93,4,69569,364019
94,2,70063,363211
95,3,69663,363671
96,8,70007,361998
97,1,69631,363480
98,6,69874,361723
99,1,69146,361108
100,2,69434,362136
101,4,69764,361322
102,3,69883,361090
103,7,69171,359777
104,8,69038,358799
105,1,69282,358849
106,5,68860,358453
107,6,69511,359759
108,3,68429,357683
109,6,69326,356819
110,3,68652,356751
111,2,68948,356377
112,2,68684,356481
113,3,68390,356537
114,6,68659,355462
115,5,68219,355149
116,2,68209,355895
117,1,67947,355123
118,6,68284,352862
119,5,67875,355059
120,5,68119,353708
121,3,67955,353025
122,1,67826,352071
123,3,67932,351587
124,3,67539,351243
125,1,67843,350374
126,5,67672,350251
127,7,67340,350558
128,9,67370,351246
129,2,66968,349839
130,4,67253,350500
131,9,66733,348828
132,3,66743,349373
133,6,67239,347587
134,3,66105,347348
135,3,66497,347216
136,3,66982,346921
137,4,66618,346509
138,4,66653,346066
139,3,66927,345148
140,5,66402,345958
141,8,66611,344754
142,5,66157,343924
143,4,66375,344213
144,2,66548,343307
145,2,66253,342898
146,2,66076,343758
147,2,65977,342490
148,7,65895,342572
149,2,65901,341475
150,6,65811,341167
151,7,65930,340961
152,4,65625,341083
153,3,65694,340010
154,7,65326,339688
155,7,65493,340030
156,8,65079,339447
157,4,65246,337484
158,3,65310,336366
159,3,65081,336936
160,2,64907,337933
161,5,64637,336431
162,1,64689,336972
163,6,64579,337108
164,2,64311,334819
165,3,64537,335557
166,4,63834,334656
167,5,64458,334515
168,2,64322,334279
169,8,64193,334744
170,4,64135,333323
171,3,64016,332456
172,2,63896,332518
173,3,63650,331234
174,2,63668,331877
175,5,64020,331423
176,8,64064,330921
177,5,63799,331022
178,8,63414,330181
179,5,63650,329672
180,2,63171,328845
