Pb7U5,2se%,Pb6U8,2se%,rho
0.241868,0.84,0.034849,0.15,0.39
0.230575,3.42,0.034910,0.33,0.52
0.245708,2.11,0.034945,0.23,0.47
0.243176,4.26,0.035011,0.38,0.48
0.245665,1.00,0.035016,0.17,0.40
0.251872,3.64,0.035036,0.36,0.54
0.248909,3.82,0.035055,0.39,0.43
0.243440,4.07,0.035071,0.41,0.59
0.244688,1.71,0.035074,0.20,0.46
0.249289,2.00,0.035092,0.25,0.43
0.248945,3.26,0.035109,0.33,0.48
0.244264,1.98,0.035139,0.32,0.56
0.246658,2.13,0.035184,0.23,0.54
0.248138,5.03,0.035194,0.49,0.50
0.252607,3.77,0.035220,0.40,0.57
0.247720,1.89,0.035242,0.38,0.42
0.247360,0.65,0.035245,0.13,0.50
0.245710,2.79,0.035279,0.29,0.49
0.249492,0.57,0.035749,0.14,0.51
