U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,rho,ThU
73.69642,10.30284,0.1225635,0.03591429,0,0.00953069
84.23741,12.70057,0.04309966,0.01875331,0,0.00779617
64.45828,8.4443,0.01975928,0.0096729,0,0.00763165
91.98007,14.6058,0.1034807,0.03588039,0,0.00298189
151.95047,31.22729,0.207301,0.07336845,0,0.00306766
93.02905,14.25202,0.3036886,0.07322173,0,0.00366474
86.93369,13.32864,0.07900968,0.02897567,0,0.00294371
116.28982,19.96603,0.1434988,0.04814228,0,0.00927332
120.80725,20.30078,0.1584091,0.05060316,0,0.01156061
107.99367,16.81523,0.08184466,0.03010655,0,0.0086135
115.74469,19.87575,0.3182895,0.08465296,0,0.00840868
107.66521,17.07426,0.02936668,0.01461518,0,0.00598398
90.81431,14.16337,0.0102167,0.00613454,0,0.00879634
72.74119,10.4763,0.05418181,0.02126864,0,0.01035292
72.64596,10.01765,0.1052503,0.03205828,0,0.01330472
126.87029,21.77158,0.0126828,0.00765211,0,0.00641667
102.44105,16.89021,0.1319291,0.04380276,0,0.01315593
74.8767,10.62043,0.06730109,0.02436893,0,0.00978342
91.68458,13.81417,0.1264721,0.03928451,0,0.00362809
70.68017,9.61756,0.1023854,0.03110126,0,0.00285916
78.5741,10.67783,0.08886159,0.02832125,0,0.00257345
42.95352,4.51621,0.01244131,0.00602222,0,0.01103546
46.89048,4.80825,0.08746742,0.02168601,0,0.02332985
37.03567,3.28702,0.1095473,0.02171359,0,0.03548835
34.48975,2.92239,0.07917648,0.01699441,0,0.0287273
23.39268,1.62157,0.1047537,0.0164527,0,0.03901259
18.06615,1.07767,0.09746116,0.01347462,0,0.07189543
16.09843,0.82745892,0.09621064,0.01149746,0,0.05813981
12.60495,0.56916686,0.1368966,0.01234253,0,0.0919821
10.0041,0.37269146,0.1101233,0.00879671,0,0.08986341
9.45407,0.30647815,0.09370811,0.00693558,0,0.08662351
8.89733,0.26141792,0.0968661,0.00638036,0,0.10903
7.87687,0.21013788,0.0934777,0.00561406,0,0.12007797
7.05787,0.1685605,0.1034302,0.0052762,0,0.13713004
7.30458,0.15766937,0.08232455,0.004193,0,0.1206585
6.82578,0.13959283,0.109928,0.00466846,0,0.11737469
6.34411,0.1203127,0.09298501,0.0038933,0,0.13380839
5.49185,0.10179801,0.08824466,0.003628,0,0.19416952
5.13146,0.09186652,0.09497601,0.00362407,0,0.17603808
5.46404,0.09581471,0.1002836,0.0036944,0,0.20262078
4.86324,0.08028638,0.0962145,0.00334256,0,0.21376177
4.86573,0.08041051,0.1087134,0.00359442,0,0.19177015
4.87272,0.07706956,0.1008141,0.00329153,0,0.18672226
4.51883,0.0681315,0.1007237,0.00310223,0,0.18594138
5.09494,0.07335688,0.1099808,0.00317307,0,0.16125108
4.19014,0.0565511,0.0980914,0.00270312,0,0.16484491
4.32329,0.05399162,0.1071558,0.00264701,0,0.13788881
4.40353,0.05134909,0.103769,0.00243206,0,0.12273597
4.31919,0.04824881,0.1077034,0.00237432,0,0.11945398
3.9761,0.04101194,0.1008243,0.0020817,0,0.11229466
3.99673,0.03936304,0.09529545,0.00192494,0,0.0966845
3.52963,0.0335676,0.09527805,0.00182003,0,0.09041093
3.97072,0.0365278,0.0997806,0.00184462,0,0.08045674
3.72926,0.03289908,0.1008062,0.00176106,0,0.08528101
4.15867,0.03680455,0.1017813,0.00180836,0,0.08867426
3.89988,0.03331321,0.1012728,0.00172236,0,0.08215617
3.84757,0.03283932,0.1056524,0.00176014,0,0.08563638
