U/Pb,err,Pb/Pb,err
11908,4.52,0.6201,1.36
6021,3.27,0.7211,0.79
1178,3.76,0.8033,0.66
17403,3.15,0.5204,1.33
18284,4.33,0.5085,2.18
18324,3.7,0.4953,1.49
19407,3.37,0.495,1.3
19233,3.35,0.4918,1.71
21634,2.88,0.4713,2.98
13989,5.94,0.5766,2.1
23393,2.94,0.4197,3.58
18481,3.42,0.4996,2.41
15916,3.11,0.5495,1.76
21060,2.9,0.432,3.02
18253,3.25,0.4972,2.63
14889,3.11,0.5511,1.62
17204,3.13,0.5132,1.33
24025,3.31,0.3828,2.62
24598,2.86,0.3727,2.35
19235,2.57,0.4676,2
25069,4.26,0.345,3.2
19345,4.7,0.4757,3.16
27738,3.2,0.3178,3.03
26496,3.19,0.3374,3.86
26579,2.96,0.3567,2.23
18087,9.09,0.4691,2.99
27537,2.8,0.3626,2.77
22788,3.21,0.3921,3.07
18114,6.82,0.488,2.27
21711,5.38,0.4084,3.44
