"t","Ar36","Ar39","Ar40"
30,1,2,313
31,1,0,289
32,0,1,284
33,1,0,278
34,2,1,282
35,1,1,288
36,0,0,272
37,0,2,281
38,2,0,266
39,1,1,309
40,0,1,266
41,0,0,264
42,1,3,277
43,3,1,293
44,4,1,306
45,3,0,313
46,1,2,296
47,0,0,292
48,0,0,276
49,0,1,288
50,0,0,293
51,2,1,282
52,2,0,262
53,0,1,284
54,0,3,289
55,2,1,294
56,0,0,284
57,2,1,277
58,0,0,239
59,1,0,258
60,1,1,262
61,0,0,297
62,2,1,271
63,2,2,266
64,2,1,299
65,1,2,289
66,2,2,268
67,0,1,297
68,1,0,311
69,1,4,299
70,2,0,256
71,1,1,270
72,0,2,279
73,0,2,262
74,1,1,301
75,0,4,265
76,1,0,262
77,0,1,301
78,1,1,288
79,0,1,232
80,1,0,249
81,0,0,280
82,0,2,280
83,1,0,244
84,1,0,273
85,0,2,269
86,0,0,286
87,1,0,287
88,1,0,280
89,2,0,264
90,2,1,261
91,2,1,258
92,1,2,248
93,1,2,286
94,0,1,250
95,0,0,271
96,0,0,257
97,1,2,280
98,0,0,275
99,1,2,296
100,1,0,273
101,0,1,253
102,0,3,291
103,0,2,274
104,1,0,267
105,2,0,247
106,0,0,284
107,1,2,284
108,1,0,284
109,1,0,278
110,1,0,282
111,1,1,255
112,2,0,289
113,0,1,278
114,1,0,262
115,0,0,277
116,1,0,234
117,0,1,262
118,2,0,259
119,3,0,249
120,2,0,264
121,0,1,248
122,0,0,266
123,0,2,266
124,1,0,257
125,2,1,251
126,1,0,235
127,1,1,248
128,2,0,253
129,1,0,252
130,2,3,281
131,4,1,263
132,0,0,244
133,3,1,267
134,0,1,262
135,1,1,248
136,1,0,251
137,0,1,253
138,1,1,247
139,1,2,268
140,0,0,266
141,0,1,259
142,0,1,274
143,0,2,243
144,0,2,278
145,1,2,262
146,1,0,267
147,0,1,265
148,0,0,246
149,1,2,255
150,2,1,227
151,1,0,248
152,0,0,252
153,2,1,233
154,0,1,260
155,0,1,240
156,0,1,253
157,1,2,260
158,2,1,229
159,1,0,243
160,1,0,241
161,0,1,253
162,1,0,237
163,0,0,251
164,0,0,246
165,0,0,246
166,0,3,236
167,0,0,240
168,0,1,258
169,0,1,214
170,1,1,234
171,0,4,232
172,0,2,233
173,0,1,231
174,1,1,246
175,1,1,260
176,0,2,234
177,0,1,234
178,2,0,226
179,0,0,274
180,0,1,238
