"t","Ar36","Ar39","Ar40"
30,8,21473,410654
31,14,21620,409622
32,8,21381,410250
33,13,21569,409636
34,10,21365,408275
35,11,21701,408444
36,7,21293,407515
37,13,21418,407458
38,11,21365,407084
39,10,21503,406112
40,11,21346,404690
41,6,21385,406564
42,8,21316,405689
43,11,21479,405106
44,9,21216,404705
45,12,21249,404021
46,9,21561,403243
47,11,21168,403472
48,16,21543,403559
49,8,21522,401666
50,7,21330,402198
51,12,21070,401101
52,8,21175,400766
53,6,21254,399827
54,15,21094,399822
55,17,21363,399232
56,5,21115,399343
57,7,21336,398486
58,13,21055,397918
59,7,21003,398532
60,5,20799,397536
61,15,20952,396608
62,11,20980,397583
63,8,20891,396223
64,9,20711,395355
65,7,20994,396304
66,8,20840,394573
67,6,20758,395369
68,6,20563,393962
69,13,20718,393158
70,10,20518,391929
71,10,20653,392446
72,4,20743,394005
73,6,20762,392870
74,9,20447,392464
75,6,20413,392477
76,8,20540,390941
77,12,20619,390109
78,13,20347,389126
79,7,20647,389097
80,14,20498,388546
81,7,20461,388538
82,7,20658,388006
83,9,20632,389490
84,8,20408,387236
85,4,20517,387001
86,9,20442,386776
87,5,20419,386729
88,12,20356,384795
89,10,20355,384662
90,13,19968,384258
91,4,20367,384965
92,13,20322,383179
93,9,20099,383924
94,8,20255,382376
95,8,20368,382268
96,11,20187,383416
97,13,19965,381431
98,12,20276,381103
99,7,20070,381435
100,14,20284,381538
101,7,20119,379986
102,6,20063,379567
103,8,19858,380025
104,16,20136,379458
105,9,20192,378134
106,11,20066,378037
107,6,19627,377664
108,12,19959,377687
109,11,19764,376377
110,6,19427,375805
111,9,19593,376684
112,7,19830,375124
113,9,19880,374847
114,8,19784,375163
115,11,19579,374761
116,7,19728,373198
117,12,19782,373129
118,7,19528,372283
119,6,19642,372571
120,6,19207,371420
121,7,19661,371635
122,9,19659,370137
123,6,19749,372312
124,12,19763,371318
125,10,19597,369660
126,7,19775,370644
127,9,19550,369003
128,4,19589,368159
129,5,19509,369035
130,10,19600,368129
131,8,19798,367613
132,10,19525,367628
133,10,19276,367223
134,10,19300,366478
135,7,19268,366515
136,10,19286,365795
137,7,19381,365310
138,1,19267,364310
139,5,19349,364008
140,15,19228,363243
141,7,19115,362866
142,10,19038,362356
143,11,19434,362000
144,10,19023,361416
145,4,19187,360722
146,5,19013,360373
147,10,18961,360913
148,10,18985,360181
149,6,19054,359865
150,6,18875,359702
151,12,18983,357855
152,9,18969,359203
153,9,18850,358187
154,8,18935,357237
155,9,18756,357304
156,8,18655,357179
157,9,18932,356285
158,10,18700,356199
159,5,18605,356257
160,8,18683,354876
161,10,18626,353881
162,7,18612,354310
163,10,18652,353881
164,6,18746,353720
165,2,18643,353408
166,7,18209,352591
167,14,18560,352111
168,7,18802,352006
169,11,18428,352334
170,11,18266,351273
171,11,18429,350395
172,8,18453,349322
173,10,18508,349671
174,7,18434,349131
175,5,18524,349170
176,9,18487,348950
177,9,18284,347932
178,7,18575,346887
179,7,18233,346534
180,14,18383,346477
