"t","Ar36","Ar39","Ar40"
30,3,74996,389601
31,4,74847,388768
32,5,74822,387561
33,8,74564,387643
34,3,74990,388887
35,8,74781,387149
36,9,74433,388672
37,6,74578,386719
38,5,74429,386923
39,2,74551,384398
40,3,74101,385232
41,3,74283,385587
42,6,74383,384862
43,4,73715,383961
44,6,74190,384130
45,5,73988,383639
46,6,74151,384076
47,11,73794,382480
48,4,73219,382790
49,6,73550,382073
50,8,73681,382024
51,3,73546,380761
52,5,73046,379485
53,2,72933,379319
54,3,72796,380136
55,4,73502,378967
56,1,73141,379582
57,4,73116,378562
58,7,72897,378115
59,4,73169,377146
60,4,72467,378590
61,5,72568,376822
62,4,72491,377513
63,3,71954,376235
64,7,72224,376130
65,5,72342,374753
66,6,72308,374014
67,2,72134,374639
68,6,71988,373899
69,4,72303,373986
70,7,71808,374314
71,5,71490,372771
72,6,71902,372497
73,5,71614,371245
74,5,71227,372565
75,6,71393,372278
76,1,71275,371461
77,4,71467,369425
78,6,70842,371118
79,6,70915,370373
80,4,71013,369193
81,7,70784,368432
82,4,70923,369232
83,3,70879,368662
84,2,70698,367944
85,2,70583,367486
86,3,70425,366439
87,4,71106,366992
88,5,70479,366720
89,4,70056,365748
90,8,70710,365131
91,3,69895,364584
92,4,70081,363899
93,3,70324,364148
94,5,69944,363626
95,3,70198,362487
96,4,69692,363085
97,6,69680,362624
98,2,69814,361553
99,7,69562,362617
100,3,69990,361736
101,7,69676,361156
102,4,69581,360411
103,3,69173,360461
104,4,68863,359678
105,7,68896,359229
106,7,69690,358291
107,4,69034,356967
108,6,69049,358443
109,8,68832,358339
110,4,68932,357433
111,6,68298,355939
112,4,69164,356917
113,3,68812,356449
114,6,68782,355367
115,3,68066,354281
116,5,68156,355071
117,2,67850,354014
118,3,68133,354684
119,2,68461,353972
120,3,67802,354069
121,1,68212,352225
122,5,67843,352399
123,7,67875,352018
124,6,67502,352353
125,6,67865,350745
126,4,68003,351249
127,4,67185,350814
128,6,67120,350630
129,5,67179,351260
130,5,67335,349178
131,3,67589,348404
132,3,67485,348813
133,10,66912,348040
134,5,67323,347860
135,3,66748,347213
136,2,66905,345950
137,4,66685,346501
138,7,66850,345652
139,5,66543,345442
140,9,66181,346384
141,5,66026,344515
142,3,66604,345416
143,4,65849,342977
144,2,65825,343449
145,0,65652,343331
146,5,65547,343672
147,2,65987,342796
148,4,65788,342138
149,5,65464,342191
150,10,65647,340203
151,4,65195,340557
152,4,66100,341235
153,2,65064,340498
154,6,64636,339762
155,4,65691,339912
156,4,64969,338855
157,2,65118,337802
158,3,64999,338006
159,5,65268,337857
160,4,64909,337019
161,1,64575,335889
162,1,64813,335396
163,5,64456,335641
164,7,64320,335270
165,5,64386,334346
166,4,64421,335025
167,4,64629,333605
168,9,64327,334544
169,4,64319,333612
170,5,64120,333160
171,5,64323,332574
172,3,64004,333159
173,3,63885,332476
174,5,63974,331886
175,4,63846,330966
176,2,63567,330031
177,5,63736,329738
178,2,63234,328668
179,6,63659,330031
180,5,63798,328703
