Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
0.482,82177.71,0,0,0,0,0,8.33,0,0,0
0.954,86597.32,600.01,0,0,0,16.67,41.67,0,0,100
1.426,94836.59,0,0,0,0,8.33,25,0,20,0
1.898,84789.17,0,0,0,40,0,33.33,0,30,0
2.37,83182.08,0,0,0,0,16.67,16.67,0,20,0
2.842,79164.92,0,0,0,0,0,50,0,20,0
3.314,81374.24,0,0,0,0,0,8.33,0,0,100
3.786,85190.96,0,0,0,0,16.67,0,0,0,0
4.258,78763.27,0,0,0,0,25,8.33,0,20,0
4.73,80369.98,400,0,0,20,16.67,25,0,10,50
5.202,82780.32,0,0,0,40,0,0,0,10,0
5.674,80369.98,0,0,0,0,0,25,0,20,0
6.147,86798.23,0,0,0,0,16.67,33.33,0,0,0
6.619,82378.58,0,0,0,0,0,16.67,0,30,0
7.091,72739.28,0,0,0,40,0,58.33,0,20,0
7.563,79566.62,0,0,0,0,0,33.33,0,0,0
8.035,81775.98,0,0,0,0,0,25,0,0,0
8.507,78763.27,0,0,0,40,41.67,25,0,10,0
8.979,86798.23,0,0,0,0,16.67,41.67,0,0,0
9.45,76955.85,0,0,0,0,8.33,58.33,0,10,0
9.923,80771.68,0,0,0,0,0,25,0,0,0
10.395,80972.54,0,0,0,0,8.33,0,100,0,0
10.867,83985.6,0,0,0,40,16.67,16.67,0,10,0
11.339,91218.89,0,0,0,0,25,33.33,50,0,50
11.811,79365.77,0,0,0,0,25,16.67,0,20,0
12.283,76353.43,0,0,0,0,0,25,0,20,150
12.755,82780.32,0,0,0,0,0,0,0,0,0
13.226,76152.63,0,0,0,0,0,33.33,0,10,0
13.699,83182.08,0,0,0,0,0,8.33,0,20,0
14.171,86195.47,0,0,0,0,16.67,0,0,10,0
14.643,84789.17,0,0,0,20,25,8.33,0,0,0
15.115,89209.38,0,0,0,20,0,0,100,0,0
15.587,85994.58,0,0,0,0,16.67,58.33,0,10,0
16.059,80570.84,0,0,0,0,8.33,0,0,0,0
16.531,64308.89,0,0,0,0,8.33,58.33,0,0,0
17.002,86798.23,0,0,0,0,8.33,0,50,0,0
17.475,85793.67,0,0,0,0,8.33,16.67,0,0,0
17.947,81575.11,0,0,0,0,0,0,0,0,0
18.419,75148.64,0,0,0,20,0,33.33,50,0,50
18.891,72940.03,0,0,0,0,8.33,25,0,20,150
19.363,93429.63,0,0,0,40,0,8.33,0,10,0
19.835,87802.83,0,0,0,0,16.67,8.33,0,0,0
20.307,85793.67,0,0,0,20,8.33,8.33,0,0,0
20.778,84588.27,0,0,0,0,16.67,16.67,0,0,0
21.252,86798.23,200,0,0,0,0,16.67,0,40,0
21.724,91620.83,464317.49,0,148857.61,10823.57,4367.25,9235.94,16608.56,3900.47,594006.46
22.196,1447257.65,41680272.81,0,2309299.86,47869.69,3775.43,1408.39,25069.51,8562.28,1228058.91
22.668,2443918.61,86621983.19,400,5582103.64,94310.12,5059.11,1141.71,26722.16,10133.2,1185313.99
23.14,2821691.86,82466476.84,0,5436936.45,90066.39,5459.24,825.02,29026.14,9192.63,1380222.1
23.612,2738241.47,85537014.41,0,5543935.67,79753.26,5142.47,950.03,28374.98,9752.96,1213457.35
24.084,2646498.3,79132651.77,0,6221214.2,79190.53,5159.14,950.03,28976.06,8842.43,1110640.16
24.556,2596145.18,82379901.84,0,5952815.76,87593.05,5459.24,891.69,32132.03,8292.14,1124990.85
25.028,2472720.17,95015883.37,0,7148893.13,88497.88,4675.67,850.02,28525.25,8192.09,1123276.69
25.5,2445532.48,84756239.39,0,7212257.97,90468.58,5517.59,1025.03,32031.84,7821.9,1071559.69
25.972,2181922.9,77986064.24,0,6685885.31,80838.53,4792.37,1041.7,32532.84,8062.02,1110747.1
26.444,2673934.43,94659764.62,0,7304655.63,85823.74,4859.05,750.02,28024.37,7781.88,1069744.16
26.916,2652953.97,97449870.93,0,6733900.93,78627.84,4850.72,933.36,29076.23,7821.9,1002818.58
27.388,2564562.56,87547364.46,0,7345811.88,82567.1,5200.83,833.35,27022.66,7091.56,959748.17
27.86,2310139.9,85112564.4,0,7028548.59,82245.5,4917.4,775.02,30679.2,6961.51,960119.46
28.332,2189843.41,87166058.2,0,6100563.81,80336.07,5017.43,1158.37,34937.87,7821.9,1018300.41
28.804,2150663.13,86343014.43,0,6381356.78,79592.46,4350.58,700.02,26521.83,6701.4,996598.07
29.276,2382044.58,80777451.81,0,6775940.78,79090.05,4834.05,800.02,26421.67,6411.28,943102.36
29.748,2194014.7,81496758.07,0,6609990.77,78828.79,4850.72,866.69,27022.66,6671.39,928855.59
30.22,2431727.4,75701032.94,0,6435382.57,77743.65,4842.38,750.02,25019.43,6751.42,909755.39
30.692,2184132.67,85719220.67,0,6200805.61,76015.58,4333.91,858.36,31280.36,5610.98,979490.35
31.164,2339438.14,85359158.16,0,6258363.42,78808.7,4884.06,691.68,24268.28,6651.38,963673.46
31.636,2393317.05,80143008.04,0,6063448.57,75473.08,4700.67,758.35,24218.2,6911.49,878797.87
32.108,2620775.45,79353558.02,0,5900351.69,75674,4500.62,725.02,26972.58,6591.35,910865.94
32.58,2256881.69,81814545.58,0,6196968.5,76216.51,4675.67,841.69,29076.23,6421.28,872096.5
33.052,2163450.05,73750639.15,0,6182536.86,74850.24,4263.05,833.35,27773.94,6801.44,954074.14
33.524,2344677.01,78700401.76,0,5881301.69,74850.24,4500.62,675.01,25019.43,5911.09,905102.95
33.996,2284690.09,78334183,0,5939402.48,76357.16,4508.95,808.35,25470.13,11163.88,855855.19
34.468,2240817.24,75116645.43,0,6054245.84,69948.7,4458.94,791.69,25770.61,5721.02,864079.22
34.94,2144406.3,77830507.99,0,5815797.79,74026.53,5017.43,825.02,25870.77,5971.11,868878.54
35.412,2165660.01,74140795.41,0,5814168.1,70470.92,4042.16,958.36,28725.6,5871.07,833891.62
35.884,2131818.02,66019001.48,0,5734164.58,71736.39,5100.79,658.35,23967.83,5731.02,853799.73
36.357,2212114.89,76614301.71,0,5892371.62,75151.24,4267.22,716.68,26271.42,6591.35,849795.14
36.829,2104108.84,72528301.62,0,5744249.74,68964.54,4033.83,891.69,22015.04,5610.98,835312.81
37.301,2056884.03,72906726.63,0,5900385.68,74769.87,4592.31,675.01,26672.08,6201.2,807963.06
37.773,2152947.51,71545739.1,0,5245111.45,68382.11,4709.01,825.02,26922.49,5600.98,765398.36
38.245,1908456.29,67488139.01,0,5674060.28,72499.73,4500.62,891.69,25970.93,6381.27,845054.02
38.717,2095219.97,68740657.79,0,5497414.19,65831.73,4017.16,725.02,23467.09,5400.91,768805.88
39.189,2045363.33,70620932.83,0,5094477.07,70872.65,4175.53,708.35,22165.25,5951.1,847740.55
39.661,2253082.86,76311132.96,0,5839432.16,72680.53,4050.5,816.69,21213.97,6031.13,759738.4
40.133,2014103.76,62647426.4,0,5260358.32,64446.24,4058.84,783.35,20663.25,5630.99,747063.1
40.605,2096461.57,68686651.54,0,5384947.78,69486.74,4175.53,925.03,25720.53,5751.03,794462.76
41.077,2137404.54,61381363.87,0,5428005.59,67920.2,3967.15,775.02,23717.46,5430.92,777301.24
41.549,2025773.29,66820970.24,0,5070061.83,64185.23,4158.86,541.68,22565.8,5510.95,798926.48
42.021,2112352,74353882.91,0,5520946.61,67980.46,4158.86,600.01,24067.98,5851.07,720905.09
42.493,1906246.53,66605870.24,0,5272548.95,67980.46,3975.48,791.69,24318.35,6011.12,756228.09
42.965,2078857.66,62369276.39,0,5354759.89,67558.72,3725.42,716.68,24919.27,5580.97,763668.82
43.437,1900337.15,68525001.53,0,5113255.58,66052.61,4333.91,766.68,22615.87,5781.04,784016.72
43.909,1984904.73,64919732.7,0,5308407.93,67076.75,4167.2,575.01,23116.59,6021.13,748543.72
44.381,2071483.44,66135088.98,0,5374488.79,66233.34,3867.12,733.35,22515.73,5380.9,732357.24
44.853,2147187.16,65408282.71,0,5550625.51,67719.38,4075.51,791.69,21113.84,5180.84,758900.11
45.325,2049931.88,62712288.9,0,5184124.33,66976.34,4809.04,608.34,22966.37,5580.97,757223.5
45.797,1982993.01,64705476.45,0,5187010.66,65570.68,3825.45,583.34,22565.8,5160.83,756385.27
46.269,1942695.55,61588438.88,0,5389939.57,67377.98,4425.6,625.01,21063.77,5080.8,727074.67
46.741,1876873.87,60088213.84,0,4868287.61,65871.89,3867.12,558.34,22165.25,4900.75,741095.33
47.213,1911187.54,65116470.21,0,5033795.43,60752.2,3942.14,725.02,21063.77,5520.95,716880.44
47.685,2014252.58,61939188.88,0,5265486.06,64667.11,4092.18,800.02,21314.1,5791.04,727231.56
48.157,1858674.06,65303638.96,0,4878372.77,64887.99,3983.82,758.35,22365.53,4890.74,731467.94
48.629,1890529.73,61429995.12,0,4947509.88,64466.32,3983.82,691.68,21814.77,4900.75,706170.47
49.101,1866197.31,59916201.34,0,5100963,65610.84,4225.54,641.68,19011.22,4810.72,705648.26
49.569,2071980.12,60819132.61,0,5074000.89,63080.96,3983.82,725.02,21814.77,5200.84,720330.14
