Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
0.482,63907.52,0,0,0,0,25,0,0,0,0
0.954,58690.7,0,0,0,0,16.67,33.33,0,0,0
1.426,68925.05,0,0,0,0,8.33,8.33,0,0,0
1.898,63104.85,0,0,0,0,16.67,0,0,0,0
2.37,58490.07,0,0,0,0,0,66.67,0,0,0
2.842,56684.61,0,0,0,0,0,16.67,0,0,0
3.314,58490.07,0,0,0,0,0,16.67,0,0,0
3.786,69527.25,0,0,0,0,8.33,16.67,0,20,0
4.258,64308.89,800.02,0,0,0,0,25,0,0,0
4.73,68322.88,0,0,0,0,0,25,0,0,0
5.202,70932.44,0,0,0,0,0,16.67,0,0,0
5.674,64108.2,0,0,0,0,16.67,25,0,10,0
6.146,61700.22,0,0,0,0,0,25,0,0,0
6.618,59894.46,0,0,0,20,0,16.67,0,0,0
7.09,68523.6,400,0,0,20,8.33,25,0,0,0
7.562,66917.88,0,0,0,0,0,16.67,0,0,0
8.034,65914.38,0,0,0,0,0,0,0,20,0
8.506,54277.58,0,0,0,0,16.67,8.33,0,0,0
8.978,72538.5,0,0,0,40,0,0,0,0,0
9.45,60496.37,0,0,0,0,0,25,0,0,0
9.922,60697,0,0,0,0,0,25,0,0,0
10.394,64308.89,0,0,0,0,8.33,16.67,100,0,0
10.866,61499.59,0,0,0,0,0,0,0,0,50
11.338,65312.31,0,0,0,0,8.33,41.67,0,0,0
11.81,66516.48,0,0,0,0,0,0,0,0,0
12.282,64710.24,0,0,0,0,16.67,16.67,0,0,0
12.754,67118.58,0,0,0,0,0,16.67,0,0,0
13.226,62904.18,0,0,0,20,8.33,0,0,0,0
13.698,64910.93,0,0,0,0,8.33,8.33,0,0,0
14.171,63506.18,0,0,0,0,8.33,33.33,0,0,0
14.643,64509.56,0,0,0,40,8.33,16.67,0,20,0
15.115,54077.01,0,0,0,0,0,25,0,0,0
15.587,65312.31,0,0,0,0,8.33,8.33,0,0,0
16.059,65111.61,0,0,0,0,0,16.67,0,0,0
16.531,63706.85,0,0,0,0,0,33.33,0,0,0
17.002,63506.18,400,0,0,20,16.67,16.67,0,0,0
17.475,70731.68,0,0,0,20,33.33,41.67,0,0,0
17.947,62302.19,0,0,0,0,33.33,0,0,0,0
18.419,67118.58,0,0,0,0,0,8.33,0,0,0
18.891,59693.82,0,0,0,0,16.67,16.67,0,0,0
19.363,64108.2,0,0,0,0,0,0,0,0,0
19.835,65914.38,0,0,0,0,0,33.33,0,10,0
20.307,65513,0,0,0,0,0,16.67,0,0,0
20.778,59493.2,0,0,0,60,0,8.33,0,0,0
21.251,66917.88,0,0,0,20,16.67,0,0,20,0
21.723,53675.87,2200.13,0,12604.74,12224.55,4608.98,8685.63,201857.52,20883.56,2616481.11
22.195,2036673.29,71249251.59,200,7578894.7,120258.87,7301.62,4250.55,220296.9,23917.79,3724719.61
22.667,2630632.68,76411226.71,200,9019057.23,133339.29,7468.37,4267.22,232669.15,23467.13,3062187.18
23.139,2420976.62,87951095.72,0,10286581.48,128904.08,7393.33,4125.52,235560.75,22816.19,3578600.86
23.611,2062669.19,87055626.95,0,11506055.73,132895.72,7735.16,4458.94,269029.08,25830.75,3429712.58
24.083,2345893.61,100752089.8,0,11249644,152222.48,6651.35,4200.54,270961.07,23607.33,3355752.03
24.554,2513315.68,98687589.71,0,11888176.83,132532.79,7093.2,4700.67,263234.5,23286.87,3236959.84
