"t","Ar36","Ar39","Ar40"
30,0,1,284
31,0,1,297
32,0,0,276
33,0,0,319
34,1,2,289
35,2,2,287
36,1,0,290
37,0,1,278
38,0,3,277
39,1,0,276
40,0,0,248
41,1,3,279
42,1,1,292
43,2,0,282
44,0,0,273
45,3,1,311
46,4,1,293
47,0,2,263
48,2,1,303
49,2,1,265
50,1,0,303
51,0,0,259
52,1,0,290
53,1,0,275
54,1,0,253
55,2,1,274
56,0,0,286
57,0,1,262
58,1,2,302
59,1,1,282
60,3,0,288
61,1,2,266
62,2,1,276
63,0,1,250
64,0,1,275
65,2,0,276
66,0,0,275
67,1,1,241
68,1,2,261
69,1,0,286
70,1,1,275
71,1,1,271
72,2,2,274
73,2,1,282
74,0,0,255
75,0,1,270
76,1,0,289
77,2,0,258
78,1,1,248
79,0,0,266
80,2,1,271
81,0,3,275
82,1,0,293
83,0,0,261
84,0,1,290
85,1,0,261
86,0,1,258
87,1,2,246
88,0,1,264
89,0,0,272
90,0,1,252
91,2,0,290
92,4,2,238
93,1,0,270
94,4,2,250
95,1,1,248
96,1,2,282
97,3,1,292
98,0,2,249
99,0,0,271
100,0,1,255
101,1,0,253
102,1,0,266
103,2,2,253
104,0,0,274
105,0,0,275
106,4,0,259
107,0,1,270
108,0,0,258
109,1,0,263
110,1,1,244
111,0,2,258
112,6,1,255
113,1,0,257
114,0,0,287
115,1,2,282
116,1,0,257
117,0,2,260
118,0,1,274
119,1,0,276
120,1,0,255
121,0,2,261
122,0,0,277
123,0,2,267
124,1,0,246
125,1,1,248
126,0,2,242
127,3,3,246
128,0,0,271
129,0,0,265
130,1,0,251
131,1,0,254
132,2,0,239
133,1,0,272
134,3,0,238
135,1,1,270
136,0,0,252
137,4,3,251
138,0,0,284
139,2,3,259
140,2,0,261
141,0,1,272
142,0,0,252
143,0,2,271
144,0,1,254
145,2,1,247
146,0,1,291
147,2,1,247
148,0,0,241
149,1,1,268
150,1,1,282
151,0,0,266
152,0,0,267
153,1,0,278
154,1,0,240
155,1,1,269
156,0,0,251
157,3,2,231
158,1,0,205
159,0,0,263
160,0,1,270
161,1,0,246
162,2,0,232
163,0,1,236
164,0,2,240
165,0,0,257
166,1,1,258
167,1,0,219
168,0,3,251
169,0,2,259
170,1,1,224
171,0,0,259
172,1,0,278
173,2,0,227
174,0,1,242
175,1,2,265
176,1,1,246
177,2,1,256
178,2,2,239
179,0,1,256
180,1,2,225
