"t","Ar36","Ar39","Ar40"
30,11,18522,343002
31,11,18552,341900
32,12,18513,341579
33,10,18240,340468
34,8,18297,340871
35,6,18072,339239
36,11,18043,340165
37,9,18124,340490
38,7,18483,339761
39,11,18339,338525
40,6,17791,339300
41,11,18138,338380
42,5,18111,338318
43,6,18382,337715
44,15,18104,337479
45,16,18304,337394
46,9,17774,337087
47,6,18202,335767
48,14,18131,336029
49,10,18140,336221
50,10,18069,334033
51,13,17953,334729
52,6,17675,334841
53,10,17816,334622
54,10,17883,333517
55,14,17991,333267
56,12,17893,333516
57,19,17883,333202
58,11,17524,331785
59,13,17815,332096
60,14,17689,332001
61,12,17880,331130
62,11,17720,331393
63,6,17875,330197
64,11,17744,329394
65,15,17984,329868
66,9,17669,329984
67,9,17565,330809
68,5,17507,328151
69,10,17414,328379
70,6,17600,328930
71,9,17695,328660
72,8,17535,327805
73,9,17492,328148
74,10,17687,327389
75,16,17620,325659
76,11,17576,325981
77,16,17639,324463
78,11,17302,324352
79,7,17341,324830
80,6,17317,323842
81,8,17172,324520
82,6,17494,324348
83,9,17095,323871
84,9,17346,323560
85,6,17514,323253
86,9,17534,322232
87,11,17366,322627
88,12,17445,322198
89,11,17369,321331
90,7,17115,321231
91,13,17374,321385
92,5,17441,320188
93,7,17075,320561
94,6,17163,320012
95,12,17082,318989
96,11,17187,318357
97,12,16948,318647
98,10,17100,318125
99,8,17075,318151
100,7,17170,317419
101,5,16854,317256
102,10,17134,317389
103,8,16779,317314
104,9,17026,316414
105,14,16851,315823
106,8,16829,315808
107,11,16756,314940
108,13,17007,314516
109,11,16840,315620
110,12,16773,314194
111,2,16865,314554
112,7,16766,314183
113,9,16949,312672
114,8,16719,312691
115,11,16732,312152
116,6,16650,312657
117,6,16769,311235
118,5,16859,310320
119,7,16679,310723
120,9,16469,310841
121,10,16687,309712
122,8,16486,310787
123,9,16737,309656
124,6,16479,309539
125,12,16435,309478
126,6,16522,308799
127,8,16597,308469
128,11,16490,306981
129,8,16551,307433
130,7,16662,307154
131,12,16321,306985
132,17,16210,306853
133,9,16325,306186
134,10,16090,305785
135,5,16369,305246
136,4,16477,304799
137,6,16298,304425
138,8,16234,305092
139,11,16171,304176
140,5,15936,304162
141,11,16458,303869
142,6,16214,302777
143,11,16208,303678
144,9,16137,301009
145,10,15975,300466
146,12,16178,301307
147,12,15928,301664
148,5,16030,299829
149,7,16106,300347
150,14,16311,300457
151,13,15897,299821
152,3,16031,298905
153,5,15976,298080
154,11,15740,298593
155,11,16051,297497
156,15,15941,298123
157,7,15909,297038
158,11,15843,297325
159,10,15854,296255
160,13,15794,296065
161,8,15994,296487
162,6,16007,296022
163,7,15970,295858
164,3,15895,295268
165,8,15824,295849
166,5,15801,294325
167,9,16000,293647
168,9,15675,293475
169,8,15757,294213
170,6,15651,293731
171,8,15515,293524
172,11,15443,292897
173,6,15874,291427
174,8,15813,292154
175,12,15461,292194
176,11,15802,291387
177,8,15444,290367
178,8,15660,290091
179,9,15549,290056
180,8,15657,289626
