t,Ar36,Ar39,Ar40
30,13,35799,683101
31,8,35542,680721
32,12,35586,681209
33,10,35700,679662
34,8,35799,679578
35,9,35769,678037
36,7,35421,676809
37,8,35370,676713
38,9,35471,677579
39,22,35395,675017
40,11,35351,674614
41,13,34952,674756
42,10,35422,673025
43,9,35253,672685
44,9,35361,672376
45,7,34770,670599
46,12,34972,670397
47,13,35210,669183
48,8,35293,669178
49,13,35218,667139
50,12,34925,668923
51,11,34747,666521
52,5,35136,665616
53,19,34659,666890
54,12,34562,664365
55,17,34637,663193
56,8,34632,661973
57,12,34529,662887
58,8,34883,662370
59,6,34247,660998
60,2,34740,661832
61,5,34721,659692
62,8,34768,658696
63,6,34619,657163
64,12,34572,659540
65,4,34569,657293
66,13,34443,656758
67,10,34228,655747
68,9,34121,655856
69,9,34348,655235
70,8,34114,654575
71,13,34319,653814
72,6,34225,652082
73,13,33917,650522
74,8,33973,651485
75,16,34107,651024
76,10,34150,649319
77,16,34073,648517
78,7,34075,648305
79,7,33842,648310
80,6,33673,647267
81,11,33704,646894
82,7,33897,646121
83,8,33641,643369
84,6,33734,644880
85,14,33842,643119
86,10,33657,642177
87,8,33776,641818
88,8,33624,640655
89,12,33788,639715
90,8,33357,639629
91,6,33364,638933
92,4,33783,637065
93,15,33777,636694
94,11,33546,637140
95,14,33373,636038
96,12,33268,634936
97,7,33170,634759
98,4,33277,633560
99,8,33249,632964
100,14,33280,631852
101,8,33135,631583
102,7,33061,631217
103,5,33174,631194
104,9,33086,629867
105,10,33274,628764
106,12,32998,628194
107,12,32812,628620
108,10,32713,627637
109,4,32957,625769
110,8,32862,625349
111,10,32683,624147
112,13,33043,622998
113,12,32764,624472
114,11,33019,622548
115,2,32431,622491
116,7,32644,621570
117,9,32509,620893
118,12,32334,620933
119,6,32770,618653
120,9,32480,619140
121,10,32258,618340
122,7,32394,619517
123,9,32387,616422
124,11,31968,614664
125,10,32273,615653
126,5,32008,613171
127,6,32405,614822
128,7,31955,613581
129,14,32125,612048
130,7,32229,611415
131,4,32075,610049
132,13,31757,610478
133,8,31683,609698
134,5,31648,606967
135,12,31872,608113
136,9,31803,607110
137,4,31584,607089
138,14,31816,606544
139,7,31630,606565
140,3,31592,603117
141,13,31326,603675
142,9,31615,602655
143,7,31650,602635
144,7,31863,603146
145,12,31586,601020
146,9,31452,600144
147,4,31458,599236
148,5,31420,598292
149,12,31089,597760
150,5,31159,596973
151,12,31707,596240
152,10,31052,596459
153,5,31253,596249
154,9,31088,595511
155,9,30799,593878
156,7,31187,594879
157,6,31136,593013
158,8,31112,592126
159,8,30835,592743
160,2,30800,590309
161,4,30839,590263
162,7,30942,588501
163,8,31052,588077
164,6,30805,588305
165,8,31154,588082
166,7,30591,586272
167,8,30756,584764
168,9,30923,585360
169,8,30461,584725
170,10,30605,583579
171,7,30533,582828
172,4,30510,582195
173,10,30282,580978
174,10,30538,580408
175,9,30373,580720
176,6,30281,579505
177,11,30574,577397
178,13,30284,578364
179,6,30350,578015
180,7,30145,576425
